die Sehne	the tendon — Substantiv, feminin
der Trochanter major	greater trochanter — Substantiv, maskulin, medizinischer Begriff
mich verletzen	injure myself — Reflexives Verb
das ist typisch	that is typical — Redewendung
eine A2-Liste	an A2 list — Substantiv, feminin, Bildungsniveau
das Reich der Mitte	Middle Kingdom (China) — Eigenname, kultureller Ausdruck
auf die ich zugreifen kann	which I can access — Relativsatz
sie können sich auf was gefasst machen	they can brace themselves for something — Redewendung
er wird ihnen Schreckliches antun	he will do something terrible to them — Satz, Warnung
die Revolutionsgarden	Revolutionary Guards — Substantiv, feminin, militärischer Begriff
die Freizeitparks	amusement parks — Substantiv, plural, Orte der Unterhaltung
Mit dem Ausdruck “Typ T Persönlichkeit” bezieht man sich auf unterschiedliche Ausprägungen von Persönlichkeiten, die Anregendes, Aufregendes, Erregendes suchen, den Nervenkitzel mögen und risikobereit sind.	The expression 'Type T Personality' refers to different types of personalities that seek stimulating, exciting, and thrilling experiences, enjoy the thrill, and are willing to take risks. — Ausdruck, Psychologie, Persönlichkeitsmerkmale
das Erdgeschoss	the ground floor — Substantiv, neutral, Architektur
etwas einbüßen	forfeit something — Verben, Verlust
der Höhenverstellbarer Schreibtisch	height-adjustable desk — Substantiv, maskulin, Möbelstück
der Nervenkitzel	thrill — Substantiv, maskulin, Gefühl
Damit Sie Ihre Kondition und Muskulatur verbessern, können Sie ein paar Übungen...	To improve your fitness and muscles, you can do a few exercises... — Satz, Ratschlag, Gesundheit
... damit Sie Ihre Beinmuskulatur stärken.	... to strengthen your leg muscles. — Satz, Ratschlag, Gesundheit
"Kondition --> nicht nur ""Cardio"""	Condition --> not just 'cardio' — Hinweise, Jargon, Fitness
Arbeiten Sie zu viert	Work in groups of four — Satz, Anweisung, Zusammenarbeit
die Achterbahn fahren	ride a roller coaster — Verb, Freizeitaktivität
die Ziele und Zwecke	goals and purposes — Substantiv, plural, Planung
am laufenden Band	on the conveyor belt — Redewendung, kontinuierlich
die Vorschläge	the proposals — Substantiv, plural, Ideen
sie legen sofort auf	they hang up immediately — Satz, Handlung
dividiert	divided — Verb, Mathematik
ich mache mir große Sorgen	I am very worried — Satz, Emotion
sie ist verwirrt	she is confused — Satz, Zustand
sie warten auf etwas	they are waiting for something — Satz, Verhalten
die Schüler mussten sie korrigieren	the students had to correct her — Satz, Unterricht
mit warmem Wasser	with warm water — Satz, Anleitung
wegen der Nebenwirkungen	because of the side effects — Satz, Ursache und Wirkung
das Gebäck	pastry — Substantiv, neutral, Lebensmittel
die Herausforderung	challenge — Substantiv, feminin, Aufgabe
die Mahnung	the reminder — Substantiv, feminin, Erinnerung
das Mahnverfahren	dunning procedure — Substantiv, neutral, Recht
drei Tage vor seinem Tod	three days before his death — Zeitangabe
die Lumbalpunktion	lumbar puncture — Substantiv, feminin, medizinischer Vorgang
das Rückenmark	spinal cord — Substantiv, neutral, Anatomie
die Krankenkasse	the health insurance fund — Substantiv, feminin, Versicherung
die Migräne	migraine — Substantiv, feminin, Krankheit
es war ein Unterschied von Tag und Nacht	it was a night and day difference — Redewendung, Vergleich
besser organisiert	better organized — Adjektiv, Vergleich
sie haben Nebenwirkungen	they have side effects — Satz, Gesundheit
die Wirkung wird abgeschwächt	the effect is diminished — Satz, Medizin
diagnostiziert	diagnosed — Verb, Medizin
seinen inneren Schweinehund überwinden	overcome one's weaker self — Redewendung, Motivation
unausgeschlafen	sleep-deprived — Adjektiv, Zustand
wenn ich gut ausgeschlafen bin	when I'm well-rested — Konditionalsatz, Zustand
an den Tagen, an denen ich Sport mache	on the days when I exercise — Relativsatz, Zeitangabe
ich bin gedanklich bei der Arbeit	I am mentally at work — Satz, Konzentration
Meine Gedanken kreisen um die Arbeit	My thoughts revolve around work — Satz, Sorge
die ganze Tablette	a whole tablet — Medizin, Dosierung
ich fühle mich, als ob ich noch nicht richtig wach wäre	I feel as if I'm not fully awake yet — Satz, Zustand
das Zolpidem	Zolpidem — Substantiv, neutral, Medikament
die Angstzustände	anxiety states — Substantiv, plural, Psychologie
was mein Deutsch betrifft	as far as my German is concerned — Ausdruck, Bezug
das Seil	a rope — Substantiv, neutral, Gegenstand
das Seilspringen	skipping rope — Substantiv, neutral, Sport
die Hanteln	the dumbbells — Substantiv, plural, Sportgeräte
gegen den inneren Schweinehund kämpfen	fight against the inner laziness — Redewendung, Motivation
ich nehme nichts auf	I absorb nothing — Satz, Lernen
auf längere Sicht	in the long run — Ausdruck, Zeit
das regt deinen Appetit an	that stimulates your appetite — Satz, Ernährung
die Körpermitte	the core — Substantiv, feminin, Anatomie
die Herzfrequenz	the heart rate — Substantiv, feminin, Medizin
das Cardio	cardio — Substantiv, neutral, Übungen
die Kraftübungen	strength exercises — Substantiv, plural, Fitness
es ist ein Gleichgewicht	it is a balance — Satz, Harmonie
das Spinbike	spin bike — Substantiv, neutral, Fitnessgerät
das Fahrrad	the bicycle — Substantiv, neutral, Transportmittel
das Dreieck	the triangle — Substantiv, neutral, Geometrie
einen Film auf Deutsch synchronisieren	to dub a film in German — Ausdruck, Filmtechnik
ich bin in Gedanken	I am lost in thought — Satz, Zustand
ich denke daran	I am thinking about it — Satz, Gedanke
maßgeschneidert	tailor-made — Adjektiv, individuell
die Inhaltsangabe	synopsis — Substantiv, feminin, Literatur
die Auszeichnungen	awards — Substantiv, plural, Ehrungen
Ziemlich beste Freunde	The Intouchables — Filmtitel, Eigenname
die Mitbewerber	the competitors — Substantiv, plural, Wirtschaft
Wow, du machst dir so viel Mühe!	Wow, you're putting in so much effort! — Satz, Kompliment
Ich schaue es mir an, sobald ich Zeit finde.	I'll check it out as soon as I find time. — Satz, Versprechen
Evtl. musst du mir noch etwas dazu erklären.	Maybe you need to explain something more to me. — Satz, Unsicherheit
jemanden ausfragen	to interrogate someone — Verb, Neugierde
zu viele persönliche Fragen stellen	to ask too many personal questions — Satz, Neugierde
zu neugierig sein	to be too curious — Satz, Charaktereigenschaft
wenn alles endlich zusammenpasst	when everything finally fits together — Satz, Erleichterung
der Nationalsozialistischer Untergrund	National Socialist Underground — Eigenname, Organisation
sie hat gesprochen, aber sie hat nichts gesagt	she spoke, but she said nothing — Satz, Verhalten
die Nagelbomben	nail bombs — Substantiv, plural, Waffe
aus dem nichts	out of nowhere — Redewendung, Überraschung
die Rückmeldung	feedback — Substantiv, feminin, Kommunikation
aufgeräumt	tidy — Adjektiv, Zustand
unordentlich	messy — Adjektiv, Zustand
die Küchenzeile	the kitchenette — Substantiv, feminin, Raum
er hat seine Küche entworfen	he designed his kitchen — Satz, Aktion
du hast etwas Wichtiges/ Interessantes angesprochen	you mentioned something important/ interesting — Satz, Gespräch
erfunden	invented — Verb, Schöpfung
Trends aufspüren	to detect trends — Verb, Marktanalyse
zocke	gamble — Verb, Glücksspiel
das Zocken	to gamble — Verb, Glücksspiel
die Abzocke	rip-off — Substantiv, feminin, Betrug
abgezockt	ripped off — Adjektiv, Betrug
beim Umzug	during the move — Präpositionaler Ausdruck, Aktivität
der Feuerwehrmann	firefighter — Substantiv, maskulin, Beruf
